Thema,,Userfrage,Usermaßname,Adminfrage,Admin,Managerfrage,Manager,Produktbeispiel,Weiterführende Links,Problembeschreibung
Generelles,,Verwenden Sie kabellose Eingabgeräte?,"Diese Eingabegeräte sind oftmals nicht sicher und weisen viele Schwachstellen auf. Daher  lassen sie sich diese auch nicht mit den Company Policies vereinbaren, Verwenden Sie daher nur Equipment Ihres Unternehmen.",,?,Verwenden Ihre Mitarbeiter kabellose Eingabgegeräte?,Verbieten Sie ausdrücklick den Einsatz von kabellose Eingabegeräte und bieten Sie den Mitarbeitern die Möglichkeit adequates Equipment des Unternehmens für das Homeoffice zu nutzen.,,https://www.itk-security.de/funktastaturen-und-maeuse-sind-nicht-sicher-aus-die-maus/,Kabellose Tastaturen und Mäuse können von Angreifern abgehört und manipuliert werden. Dadurch können sensible Daten mitgelesen werden oder schadhafte Befehle in das System eingegeben werden.
,,Müssen Daten auf externen Datenträgern gespeichert werden (z.B. Backups)?,Verwenden Sie vorgegebene veschlüsselte Datenträger.,.,,Müssen ihre Mitarbeiter Daten auf externen Datenträgern speichern?,Stellen Sie verschlüsselte Datenträger zur Verfügung.,"Bitlocker, Veracrypt, Androidsystemverschlüsselung, ",https://www.it-techblog.de/darum-ist-eine-gute-verschluesselung-wichtig/12/2017/,Unverschlüsselte Datenträger stellen bei Diebstahl oder Verlust ein hohes Risiko dar. Außerdem fordern einige Gesetze Verschlüsselung.
,,Haben sie vor private Geräte an ihr Firmengerät anzuschließen?,Verwenden Sie nur Firmengeräte,Können die Mitarbeiter private Geräte anschließen?,Verhindern sie weitestgehend das Anschließen privater Geräte.,Können die Mitarbeiter private Geräte anschließen?,Erlauben Sie nur das Anschließen von Firmengeräten,,,Eigene Geräte können maliziöse Aktionen auf dem System ausführen.
,,,,,,,,,,
,,Ist ihr Gerät verschlüsselt? (nicht verwechseln mit Bildschirmcode/PW),"Aktivieren Sie Systemverschlüsselung (Bitlocker, Android, MacOS)",Sind die Arbeitsgeräte verschlüsselt?,"Aktivieren Sie Systemverschlüsselung (Bitlocker, Android, MacOS)",Sind die Arbeitsgeräte verschlüsselt?,"Verlangen Sie Systemverschlüsselung (Bitlocker, Android, MacOS)","Bitlocker, Veracrypt, Androidsystemverschlüsselung, ",https://support.microsoft.com/de-de/help/4028713/windows-10-turn-on-device-encryption,Unverschlüsselte Datenträger stellen bei Diebstahl oder Verlust ein hohes Risiko dar. Außerdem fordern einige Gesetze Verschlüsselung.
,,"Ist die verwendete Software (Browser, Betriebssystem, etc.) auf dem aktuellsten Stand?","Aktualisieren Sie die verwendete Software aus vertrauenswürdigen Quellen
- Betriebssystem
- Browser
- Mail Client
- etc.","Ist die eingesetzt Software (Browser, Betriebssystem, etc.) auf dem aktuellsten Stand?","Aktualisieren Sie die verwendete Software aus vertrauenswürdigen Quellen
- Betriebssystem
- Browser
- Mail Client
- etc.",Verwenden Ihre Mitarbeiter die aktuellsten Softwareversionen?,Fordern sie aktuelle Softwareversionen,"Windows 10
Chrome
Firefox
Outlook",https://www.bsi-fuer-buerger.de/BSIFB/DE/Empfehlungen/EinrichtungSoftware/UpdatePatchManagement/LeitfadenUpdatemanagement/leitfadenUpdateManagement_node.html,Veraltete Softwareversionen können Schwachstellen enthalten über die ein Angreifer in das System eindringen kann.
,,,,,,,,,,
Physische Sicherheit,,Kann Ihr Bildschirm von anderen unberechtigt eingesehen werden?,Verwenden Sie unbedingt einen Blickschutzfilter um Shoulder Surfing zu vermeiden,Kann der Bildschirm ihrer Mitarbeiter von anderen unberechtigt eingesehen werden?,Installieren Sie Blickschutzfilter auf den Geräten ihrer Mitarbeiter.,Kann der Bildschirm ihrer Mitarbeiter von anderen unberechtigt eingesehen werden?,Fordern Sie Bildschirmschutz für Ihre Mitarbeiter,,https://www.haufe.de/compliance/management-praxis/datenschutz-bei-notebooks-durch-blickschutzfilter_230130_278940.html,Ein Angreifer könnte schützenswerte Informationen ausspähen.
,,Lagern Sie zuhause schützenswerte Informationen/Gegenstände?,Ergreifen Sie adequate Maßnahmen zum Einbruch- und Zutrittsschutz. Bewahren Sie die Dokumente in einem absperrbaren Aufbewahrungsort.,,,Lagern Sie zuhause schützenswerte Informationen/Gegenstände?,,,"https://www.ndr.de/ratgeber/verbraucher/Einbruchschutz-So-werden-Haus-und-Wohnung-sicherer,einbruchschutz130.html",Unverschlüsselte Informationen können durch einen Einbruch verloren gehen.
,,Wie kann ich mein Gerät im unbenutzen Zustand schützen?,"Beim Verlassen des Gerätes sollten Sie jederzeit den Bildschirm sperren. Zusätzlich können sie beispielsweise durch entfernen der Smartcard (Disk Encrption) sicherstellen, dass die Inhalte des Computers nicht zugänglich sind für Dritte. ",,,,,[Win] + L,,Nicht gesperrte Systeme ermöglichen unberechtigten Zugriff auf das System. Ein Angreifer kann so Zugriff auf schützenswerte Informationen erlangen oder schadhafte Befehle ausführen.
,,,,,,,,,,
,,Führen Sie auch Firmentelefonate zuhause?,"Dazu sollten Sie die Abhörsicherheit gewährleisten. Wenn Sie beispielswieise Geräte besitzen, die Bild- oder Tonaufzeichnen können (z.B. GoogleHome, Amazon Alexa, Babyphones) solten Sie diese umgehen deaktivieren.",,,,,,,Über mithörende Geräte könnten schützenswerte Informationen mitgeschnitten werden.
,,"Verwenden Sie Geräte die Bild- oder Tonaufzeichnen können (z.B. GoogleHome, Amazon Alexa, Babyphones)","Schalten Sie mithörenden Geräte immer aus (Googlehome, Alexa, Babyphones, etc) Falls vorhanden sollten Sie Überwachungskameras ebenfalls deaktivieren ",,,,,,https://www.heise.de/newsticker/meldung/Googles-Sprachassistent-Mitarbeiter-hoeren-und-bewerten-Audioaufnahmen-4467985.html,Falsch konfigurierte Kameras können schützenswerte Informationen im Internet veröffentlichen.
Softwaresicherheit / Härtung der Systeme,,,,,,,,,,
,,,,,,,,,,
